,Kabupaten,Jumlah RT,Total Pengurus RT,Jumlah RW,Total Pengurus RW,Jumlah PKK,Total Pengurus PKK,Jumlah Karang Taruna,Total Pengurus Karang Taruna,Jumlah Posyandu,Total Pengurus Posyandu,Total Kader Posyandu,Jumlah LPM,Total Pengurus LPM,Jumlah Tani,Total Pengurus Tani,Jumlah Sadar Wisata,Total Pengurus Sadar Wisata
0,SAMBAS,588,552,214,186,196,390,206,412,73,175,"2,857",184,214,121,579,23,13.0
1,MEMPAWAH,932,"1,180",274,326,55,"1,175",42,636,208,766,"1,141",74,344,295,"1,581",13,35.0
2,SANGGAU,"1,952","1,978",82,82,157,347,5,81,65,142,"2,592",133,97,0,10,0,0.0
3,KETAPANG,"1,592",473,41,65,170,"1,590",169,907,516,"1,056","2,603",238,871,134,550,1,20.0
4,SINTANG,"1,987",526,34,34,159,446,36,240,48,111,"1,518",0,0,17,125,1,3.0
5,KAPUAS HULU,"1,476","1,489",0,0,265,"4,016",180,"1,426",414,"1,232","2,161",277,"1,118",246,637,7,45.0
6,BENGKAYANG,79,94,0,0,5,56,4,64,21,79,"1,349",107,0,0,0,1,39.0
7,LANDAK,517,355,72,5,541,360,0,0,557,536,"2,558",104,0,157,273,0,0.0
8,SEKADAU,937,787,249,221,165,717,125,276,163,336,949,54,92,197,660,1,10.0
9,MELAWI,"1,204","1,204",33,6,169,"1,352",76,253,191,788,807,85,110,157,302,1,0.0
10,KAYONG UTARA,641,"1,091",26,26,91,920,35,450,187,671,754,62,294,107,520,2,24.0
11,KUBU RAYA,"2,757","2,355",695,183,104,627,36,603,125,458,"1,790",158,204,353,"1,448",3,4.0
